Feature,Type,Information_Gain,Percentage_of_Base_Entropy,Rank
hba1c,numeric,1.3244152097046507,91.4535599107277,1
fbs,numeric,0.35370648970437424,24.424151436773244,2
hdl,numeric,0.08330019167273295,5.752047404692859,3
bmi,numeric,0.0707539967215165,4.885707163947197,4
triglycerides,numeric,0.04835124586583617,3.3387517208713358,5
systolic,numeric,0.030506927980445964,2.1065653318600464,6
total_cholesterol,numeric,0.02634394593318734,1.819102967129916,7
ldl,numeric,0.022017014824167402,1.520319586730206,8
alcohol_use,categorical,0.016415813423147352,1.1335452548237697,9
physical_activity,categorical,0.01515045112907143,1.0461694186644621,10
smoking_status,categorical,0.008674604524880225,0.5989990592111346,11
cycle,categorical,0.007251832242615386,0.5007537436922598,12
diastolic,numeric,0.004972752663765512,0.34337867031769187,13
age,numeric,0.0046056986630094165,0.3180328461360852,14
has_outlier,categorical,0.0039024274309436002,0.26947053932781073,15
menopausal_status,categorical,0.0,0.0,16
imputed,categorical,0.0,0.0,17
